x,y
1131,640
1124,641
1124,642
1043,646
1037,652
1033,655
1030,658
1110,679
1120,691
1103,697
1129,702
1109,704
1118,715
1152,730
1137,739
1145,749
1174,758
1181,767
1189,777
1202,793
1193,810
1202,822
1206,827
1229,827
1211,833
1216,838
1240,842
1220,844
1244,847
1249,853
1233,860
1257,863
1244,872
1266,874
1261,895
1279,918
958,962
954,965
951,967
948,970
945,972
944,973
941,975
937,978
937,980
933,981
935,981
933,982
929,983
925,986
922,988
920,991
915,994
917,994
913,995
911,996
902,1003
901,1014
1079,1020
1081,1024
1083,1029
1085,1032
914,1033
1086,1037
919,1040
1088,1041
1090,1046
1093,1052
928,1053
1095,1057
1097,1061
1099,1065
938,1067
1102,1073
942,1074
947,1080
1095,1088
952,1088
1087,1091
1080,1095
1074,1098
1068,1101
966,1107
970,1114
1030,1120
974,1120
1023,1123
977,1124
1015,1126
1008,1130
982,1131
1000,1133
993,1136
